d (m),V_ratio
0.001,1.5548
0.002,0.9653
0.003,0.8743
0.004,0.8083
0.005,0.7342
0.006,0.6785
0.007,0.6231
0.008,0.5597
0.009000000000000001,0.4952
0.010000000000000002,0.4319
0.011,0.3737
0.012,0.32
0.013000000000000001,0.2635
0.014000000000000002,0.1969
0.015,0.1304
0.016,0.0681
0.017,0.0963
0.018000000000000002,0.1535
0.019000000000000003,0.2571
0.02,0.3635
0.021,0.3017
0.025,0.5764
0.026000000000000002,0.5582
0.027000000000000003,0.6219
0.028,0.652
0.029,0.7017
0.030000000000000002,0.7567
0.031,0.8184
0.032,0.8895
0.033,0.9532
0.034,0.9936
0.035,0.995
0.036000000000000004,0.9597
0.037000000000000005,0.8962
0.038,0.827
0.039,0.7612
0.054,0.1296
0.055,0.1946
0.056,0.2592
0.057,0.3141
0.058,0.3667
0.059000000000000004,0.4234
0.060000000000000005,0.4853
0.061,0.5524
0.062,0.6133
0.063,0.6761
0.064,0.7346
0.065,0.796
0.066,0.8668
0.067,0.9264
0.075,0.6841
0.076,0.634
0.077,0.5724
