d (m),Contrast V
0.001,0.01602
0.002,0.06288
0.003,0.13708
0.004,0.2331
0.005,0.34384
0.006,0.46115
0.007,0.5764
0.008,0.68113
0.009000000000000001,0.76767
0.010000000000000002,0.82973
0.011,0.86279
0.012,0.86449
0.013000000000000001,0.83473
0.014000000000000002,0.77575
0.015,0.69187
0.016,0.58925
0.017,0.47537
0.018000000000000002,0.35852
0.019000000000000003,0.24718
0.02,0.14941
0.021,0.07228
0.022000000000000002,0.02133
0.024,0.01036
0.025,0.05104
0.026000000000000002,0.11925
0.027000000000000003,0.21004
0.028,0.31683
0.029,0.43192
0.030000000000000002,0.54703
0.031,0.65389
0.032,0.74486
0.033,0.81345
0.034,0.85476
